loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,grade,annual_inc,issue_d,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_int,total_rec_late_fee,last_pymnt_d,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,term_ 36 months,term_ 60 months,emp_length_1 year,emp_length_10+ years,emp_length_2 years,emp_length_3 years,emp_length_4 years,emp_length_5 years,emp_length_6 years,emp_length_7 years,emp_length_8 years,emp_length_9 years,emp_length_< 1 year,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding
13000,13000,11525,0.1062,423.28,1,86000,0,12.35,0,0,10,0,9871,0.456,23,0,0,0,15161.06573,13440.86,2161.07,0,34,2907.14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7000,7000,6785.947887,0.0751,217.77,0,80000,0,14.88,0,0,10,1,8433,0.413,17,0,0,0,7838.664792,7582.93,838.66,0,36,455.06,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12000,12000,11196.56473,0.1025,388.62,1,48645,0,13.64,0,0,10,0,13039,0.31,17,0,0,0,13922.04177,12966.9,1922.04,0,33,2701.47,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22750,22750,21931.62159,0.1136,748.73,1,58600,0,24.66,0,1,8,0,1449,0.296,37,0,0,0,25428.89573,24460.37,2678.9,0,13,14957.35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15500,15500,15500,0.1645,548.36,4,415000,0,0.68,0,2,11,0,11886,0.563,31,0,0,0,19418.69958,19418.7,3918.7,0,25,5188.83,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,10000,9950,0.1136,329.12,1,55000,0,1.53,0,2,9,0,11890,0.519,14,0,0,0,11650.43841,11592.19,1650.44,0,30,3769.17,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14500,14500,13216.62557,0.0751,451.09,0,97600,0,19.56,0,1,10,0,53404,0.541,22,0,0,0,16239.60577,14786.84,1739.61,0,44,495.6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7500,7500,7349.375721,0.1459,258.49,3,25400,0,11.81,0,0,7,0,7380,0.971,7,0,0,0,9306.189726,9102.09,1806.19,0,44,271.13,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16000,16000,15975,0.1311,539.92,2,43200,0,22.97,0,0,15,0,20195,0.464,25,0,0,0,6479.04,6468.94,1819.8,0,20,539.92,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2100,2100,2100,0.0639,64.27,0,40000,0,1.53,0,0,10,0,1987,0.081,16,0,0,0,2153.671924,2153.67,53.67,0,16,290.08,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5000,5000,4877.897127,0.1607,175.97,3,28000,0,7.8,0,0,7,0,3036,0.74,8,0,0,0,6333.375126,6160.31,1333.38,0,44,188.53,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,10000,9975,0.0988,322.11,1,40000,0,15.21,1,0,7,0,20801,0.263,15,0,0,0,11596.69644,11567.7,1596.7,0,44,344.75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8000,8000,7975,0.1645,283.02,4,72000,0,18.93,0,0,5,0,6471,0.983,16,0,0,0,8808.722892,8781.2,808.72,0,16,6831.83,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,12000,11672.20175,0.1062,390.72,1,78000,0,10.88,0,1,11,0,10730,0.662,24,0,0,0,14067.34973,13660.33,2067.35,0,44,425.54,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8000,8000,8000,0.1607,281.56,3,53000,0,19.15,0,1,25,0,4698,0.52,41,0,0,0,9715.598324,9715.6,1715.6,0,27,4110.9,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8200,8200,8200,0.1311,276.71,2,55000,0,15.88,1,0,6,0,2019,0.315,11,0,0,0,9961.990438,9961.99,1761.99,0,44,294.96,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15000,15000,14270.93023,0.0988,483.16,1,61000,0,8.48,0,0,8,0,29109,0.144,25,0,0,0,16679.59385,15838.21,1679.59,0,22,8961.37,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15000,15000,14975,0.1273,503.5,2,49439,0,18.96,0,0,16,1,20526,0.53,24,0,0,0,12027.66,12007.69,1417.95,0,19,503.5,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,10000,10000,0.1459,344.65,3,120000,0,9.7,0,1,9,0,4786,0.483,21,0,0,0,11876.76702,11876.77,1876.77,0,28,5339.59,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
